,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
0,Ford Figo Duratec,PLATINUM,380000,35056,Petrol,2nd Owner,2015,Ford
1,Maruti Suzuki Wagon,PLATINUM,465000,44000,Petrol,2nd Owner,2016,Maruti
2,Hyundai Creta 1.6,PLATINUM,1350000,42917,Petrol,2nd Owner,2018,Hyundai
3,Hyundai Venue,PLATINUM,1019699,16112,Petrol,2nd Owner,2019,Hyundai
4,Honda Jazz,PLATINUM,713499,30988,Petrol,2nd Owner,2017,Honda
5,Hyundai i20,PLATINUM,391099,69163,Diesel,2nd Owner,2013,Hyundai
6,Maruti Suzuki Swift,PLATINUM,474299,42859,Petrol,2nd Owner,2015,Maruti
7,Toyota Corolla Altis,PLATINUM,1252999,34919,Petrol,1st Owner,2017,Toyota
8,Honda Amaze,PLATINUM,393699,44940,Petrol,2nd Owner,2013,Honda
9,Hyundai Elite i20,PLATINUM,730899,13687,Petrol,1st Owner,2017,Hyundai
10,Maruti Suzuki Alto,PLATINUM,343099,29848,Petrol,2nd Owner,2018,Maruti
11,Honda Jazz,PLATINUM,707599,21426,Petrol,2nd Owner,2018,Honda
12,Maruti Suzuki Baleno,PLATINUM,688899,68177,Diesel,2nd Owner,2016,Maruti
13,Jeep Compass,PLATINUM,1421599,70650,Diesel,1st Owner,2017,Jeep
14,Maruti Suzuki Alto,PLATINUM,399999,25730,Petrol,2nd Owner,2017,Maruti
15,Kia Seltos,PLATINUM,1473299,47096,Petrol,2nd Owner,2019,Kia
16,Toyota Innova 2.5,GOLD,1025000,131000,Diesel,2nd Owner,2012,Toyota
17,Hyundai Elite i20,GOLD,735000,26000,Petrol,2nd Owner,2016,Hyundai
18,Hyundai Creta 1.6,GOLD,600000,58460,Diesel,1st Owner,2019,Hyundai
19,Kia Seltos,GOLD,800000,48000,Petrol,1st Owner,2020,Kia
20,Maruti Suzuki Ciaz,GOLD,700000,26600,Petrol,2nd Owner,2017,Maruti
21,Ford EcoSport Titanium,GOLD,820000,36000,Petrol,2nd Owner,2019,Ford
22,Tata Nano Twist,GOLD,195000,39500,Petrol,2nd Owner,2014,Tata
23,Audi Q7 3.0,GOLD,1850000,76000,Diesel,2nd Owner,2011,Audi
24,Ford Ecosport,PLATINUM,807499,23698,Petrol,1st Owner,2017,Ford
25,Hyundai Grand i10,PLATINUM,522999,37860,Petrol,2nd Owner,2016,Hyundai
26,Maruti Suzuki Swift,PLATINUM,474299,91830,Petrol,2nd Owner,2015,Maruti
27,Hyundai Elite i20,PLATINUM,740899,31172,Petrol,2nd Owner,2019,Hyundai
